"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area1,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000040,West Lothian,"182,140",,"10,357","11,627","11,452","10,209","10,415","10,766","12,052","12,247","11,735","14,006","14,269","12,930","10,265","9,146","8,258","5,734","3,764","1,947",961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000015,Ayrshire and Arran,"369,670",,"17,888","20,022","19,848","19,224","21,001","20,206","19,814","19,873","19,897","25,873","29,189","28,323","25,699","24,130","22,568","15,664","11,018","6,170","3,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000016,Borders,"115,270",,"5,486","6,205","6,213","5,827","5,553","5,178","5,315","5,792","6,040","8,320","9,408","9,291","8,539","8,078","7,785","5,298","3,741","2,177","1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000017,Dumfries and Galloway,"148,790",,"6,488","7,566","7,859","7,245","7,610","7,370","7,506","7,267","7,240","9,898","11,875","11,953","11,034","10,830","10,011","7,334","5,226","3,021","1,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000029,Fife,"371,910",,"18,956","21,372","20,356","20,297","23,933","22,193","21,114","22,099","21,336","25,932","28,128","26,819","23,785","21,963","20,873","14,045","9,995","5,681","3,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000019,Forth Valley,"306,070",,"15,155","17,110","17,209","17,133","19,737","18,730","17,847","18,486","18,690","22,916","24,128","22,073","18,621","17,259","15,714","11,031","7,844","4,239","2,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000020,Grampian,"584,550",,"30,837","32,961","30,553","29,457","36,533","42,040","41,371","40,047","36,315","40,969","42,040","39,880","35,793","31,621","27,721","19,401","14,232","8,398","4,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S08000021,Greater Glasgow and Clyde,"1,174,980",,"61,677","64,696","59,479","61,149","84,870","101,347","89,256","80,049","67,359","77,564","84,788","81,382","68,038","56,011","49,162","35,752","27,669","16,306","8,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
